resource_code,resource_name,resource_type,common_name,unit,price_median,price_min,price_max,price_mean,variant_count,currency,usage_count,tech_group,variable_parts_sample
RIPU-TO-KASA-KARI,Polyethylene plugs,abstract_material,"Plugs made of fire-resistant compound based on polypropylene, flame retardants, and basalt fiber for",kg,121.99,0.31,7598.22,1620.71,2,EUR,46,TOSA-KAVO-KAKAME,"110 mm • 25 mm • 32 mm • 40 mm • 50 mm • 63 mm • 75 mm • 90 mm, Plastic microtube plug, diameter 16-63 mm • Polyethylene plug for double-wall corrugated pipes, inner diameter 110 mm • Polyethylene plu"
RIRI-RI-KARI-RIME,Pins,abstract_material,"Metal pin for wooden supports, thread diameter M16, embedded part length",t,2.03,1.7,3.73,2.33,1,EUR,45,MEPU-KARI-KASAPU,100 mm • 125 mm • 40 mm
KAME-SA-KARI-KAME,Barrier fence fastening parts,abstract_material,Road barriers,set,2026.41,7.62,455145.66,64245.98,4,EUR,45,RIVO-RIPU-KAKANE,"Rigid galvanized steel bracket for barrier fence posts, type KZ • Galvanized steel upper shock absorber bracket for barrier fence posts, type KAV • Galvanized steel lower shock absorber bracket for ba"
KAME-PU-KARI-KATO,Cutting elements,abstract_material,,pcs,4684.59,25.37,32539.81,9083.93,9,EUR,45,TOME-KATO-KATOTO,"Cylindrical holder for a cutter with a shank diameter of 30/38 mm, dimensions 78x95 mm • Removable pilot drill for rock soil for a cutter with a shank diameter of 30/38 mm, dimensions 250x250 mm • Wea"
RITO-VO-KAPU-KANE,Welded steel shaped parts,abstract_material,,pcs,264.79,1.49,54375.39,2076.01,130,EUR,44,TOPU-KAME-KALIKA,"Coupling for connecting water heater sections consisting of two welded sharply bent elbows with flanges, type 1-2 • Coupling for connecting water heater sections consisting of two welded sharply bent "
RIPU-TO-KASA-KANE,Heat-shrinkable sleeve for insulating welded joints,abstract_material,"Heat-shrinkable sleeve for insulating welded pipe joints, complete with two-component epoxy primer a",set,45.36,7.71,212.34,61.71,20,EUR,44,RINE-KAME-KANEME,"ME.RI-ME.PU mm, outer diameter of steel pipe 108 mm • ME.RI-ME.PU mm, outer diameter of steel pipe 114 mm • ME.RI-ME.PU mm, outer diameter of steel pipe 159 mm • ME.RI-ME.PU mm, outer diameter of stee"
RINE-ME-KARI-KAVO,Pendulum pin,abstract_material,,pcs,74.59,7.19,1425.74,463.4,10,EUR,44,NERI-RIKA-KAKAME,"Fiberglass contact rail diverter shoe, dimensions 320x85x90 mm • Metal insert for 4-bolt P65 frame rail • Low-voltage porcelain insulator for contact rail, dimensions 150x112 mm • P-65 anti-theft wedg"
KALI-RI-KATO-KANE,Steel structures,abstract_material,,t,2425.81,2425.81,3238.85,2696.82,3,EUR,43,METO-KAPU-KATOTO,"I-beam monorail, profile number 24M • I-beam monorail, profile number 36M • Clamping plate for fastening crane rail, brand P1"
KAME-LI-MEME-KANE,Flux,abstract_material,Flux,kg,46.05,3.57,66.52,37.0,14,EUR,43,SATO-KADX-KAKAME,AN-22 • AN-348-A • AN-47 • VAMI • VK-16 • LTI-1 • OF6 • PV-200 • PV-201 • PV-209 • FK-235 • FK-250 • FKDT • FKS
KASA-ME-KARI-KARI,Reinforced concrete blocks for subway wall sections,abstract_material,"Precast reinforced concrete blocks, outer/inner diameter of composite ring 6000/5400 mm, for tunnel ",m3,1960.08,1500.86,2534.14,1988.79,4,EUR,43,MEVO-KAPU-KATOSA,RIKARI.RITO kg/m3 • RIRIKA.KADX kg/m3 • PURIME.DXRI kg/m3 • VOKA.VOTO kg/m3
RIPU-RI-KAME-KAME,Ceramic drainage pipes,abstract_material,,m,21.76,1.55,22.53,17.72,1,EUR,42,TOTO-KARI-KAKAME,"Loading onto motor vehicles: materials transported in bags and packages, with a weight of 52 to 80 kilograms per unit • Unloading from motor vehicles: materials transported in bags and packages, with "
KAME-PU-KAME-KARI,Soil drills,abstract_material,Drill bit,pcs,12720.39,637.6,42776.95,12065.27,54,EUR,42,SATO-KARI-KAKALI,"column with round cutters, length 1320 mm, diameter 520 mm • column with round cutters, length 1320 mm, diameter 650 mm • column with round cutters, length 1320 mm, diameter 780 mm • column with round"
RIPU-TO-KASA-MEDX,Fittings and connectors for polyethylene pipes,abstract_material,,pcs,21.94,3.27,318.6,52.97,37,EUR,42,TOPU-KARI-KAMENE,"Polypropylene support and guide ring for pipes, diameter 1400 mm • Polypropylene support and guide ring for pipes, diameter 1600 mm • Polypropylene support and guide ring for pipes, diameter 1800 mm •"
RIPU-TO-KATO-MEME,Polyethylene pipes for gas pipelines,abstract_material,Pressure polyethylene gas pipes,m,55.25,0.67,547.24,104.55,123,EUR,42,TOTO-KALI-KADXVO,"PE100, standard dimensional ratio SDR11, nominal outer diameter 110 mm, wall thickness MEKA.KA mm • PE100, standard dimensional ratio SDR11, nominal outer diameter 125 mm, wall thickness MEME.PU mm • "
KAPU-TO-KARI-MEPU,Tampon binder,abstract_material,Dry mixes,t,668.34,193.13,1844.26,843.52,4,EUR,42,MELI-KATO-KAMERI,"waterproofing based on activated bentonite for creating bulk anti-filtration curtains and screens, consumption 75-105 kg/m2 • waterproofing based on activated bentonite for creating paste-like anti-fi"
KAPU-ME-KARI-KAME,Fine-grained concrete mixes,abstract_material,"Fine-grained concrete mixes (BSM), class",m3,150.61,133.74,175.1,153.66,8,EUR,41,MELI-KAME-KAKATO,B10 (M150) • B12.5 (M150) • B15 (M200) • B20 (M250) • B22.5 (M300) • B25 (M350) • B30 (M400) • B7.5 (M100)
MEPU-PU-KAME-MESA,Primer,abstract_material,Polymer primer for improving the adhesion of bitumen-polymer mastics and sealants when sealing expan,t,14120.35,14120.35,14120.35,14120.35,1,EUR,40,RIVO-KAME-KAKAME,
RITO-ME-KARI-KATO,Centering rings for pipes,abstract_material,Ring,pcs,62.3,3.7,451.19,130.04,29,EUR,40,TOTO-MEPU-KARIVO,"stainless steel support, wall thickness 2 mm, length 140 mm, outer diameter 184 mm • stainless steel support, wall thickness 2 mm, length 150 mm, outer diameter 230 mm • stainless steel support, wall "
KASA-ME-KATO-METO,Rafters,abstract_material,Rafters,pcs,1034.76,693.39,1470.99,1007.83,1,EUR,39,MEVO-KAME-MEPURI,"reinforced concrete power lines and switchgear, volume up to 1 m3, concrete B22.5, reinforcement consumption from 150 to 200 kg/m3 • reinforced concrete, volume up to KA.RI m3, concrete B22.5, reinfor"
KALI-RI-KAME-KAPU,Airtight steel door,abstract_material,,t,84.7,12.01,203.17,114.18,1,EUR,39,MESA-KADX-KAKAPU,Transportation of Class I cargoes in tank trucks with a tank capacity of up to 8 m3 on dirt roads and winter roads for a distance of 1 km • Transportation of Class I cargoes in tank trucks with a tank
RIPU-RI-KATO-KATO,Steel pipes for concrete casting inventory,abstract_material,Steel concrete pipes,m,339.8,204.91,1386.71,643.81,3,EUR,37,TOTO-KAPU-MEKADX,"inventory leader, outer diameter 245 mm, section length 1 m • inventory, outer diameter 245 mm, section length 4 m • inventory, outer diameter 325 mm, section length 4 m"
KASA-ME-KARI-KASA,Reinforced concrete supports,abstract_material,,m3,851.07,644.46,1114.6,889.31,5,EUR,37,MEVO-KATO-MEMEVO,"Reinforced concrete beams, volume up to KA.SA m3, B15 concrete, reinforcement consumption from 200 to 250 kg/m3 • Reinforced concrete beams, volume up to 1 m3, B15 concrete, reinforcement consumption "
KASA-ME-KAME-MEKA,Precast reinforced concrete structures,abstract_material,,m3,708.45,447.09,2152.46,896.85,16,EUR,36,MEVO-KATO-MEMEKA,"Reinforced concrete trough blocks for round corrugated pipes, volume KA.KAKARIRI m³, concrete B20, reinforcement consumption up to 50 kg/m³, dimensions 490x140x46 mm • Reinforced concrete trough block"
MERI-ME-KARI-KADX,Insulation material,abstract_material,Rolled bitumen roofing material,m2,2.98,2.09,6.32,3.46,9,EUR,36,RILI-KAME-KAPUTO,"and waterproofing for pipe insulation and roof repair, glass fiber base, flexibility not exceeding -15 °C, strength 294 N, heat resistance not less than 80 °C • and waterproofing for pipe insulation a"
RISA-ME-KANE-MEVO,Sleeper pads,abstract_material,Rubber gaskets for,1000 pcs,1376.26,1061.03,1850.13,1402.44,7,EUR,36,NEKA-MESA-KAKAME,"reinforced concrete sub-base, type CP-143 • reinforced concrete sub-base, type CP-356 • reinforced concrete rail base, type TsP-74 • reinforced concrete sleepers for R50 rails • rail base, type TsP-31"
KAME-LI-MELI-KARI,Injector,abstract_material,"Perforated injector, nominal diameter of steel pipe 32 mm, pipe wall thickness TO.RI mm, outer diame",pcs,245.11,123.59,1076.26,369.3,8,EUR,35,SATO-KARI-KADXPU,10000 mm • 15000 mm • 3000 mm • 30000 mm • 4000 mm • 5000 mm • 6000 mm • 7000 mm
MERI-RI-KASA-KASA,Mineral wool slabs with synthetic binder,abstract_material,Mineral wool slabs with synthetic binder,m3,203.7,87.93,423.14,228.73,12,EUR,35,RISA-KAPU-KATODX,"thermal insulation PZ-100, rigid, density 91-110 kg/m3 • thermal insulation PZ-120, rigid, density 111-130 kg/m3 • thermal insulation PZ-140, rigid, density 131-150 kg/m3 • thermal insulation PM-40, s"
RITO-ME-KAME-KANE,Bellows compensators,abstract_material,,pcs,978.41,61.55,17937.12,2179.84,69,EUR,35,TOSA-MENE-KAPUVO,"Two-section axial bellows compensator in a protective casing, compensation capacity 100 mm, nominal pressure ME.KA MPa, diameter 100 mm • Two-section axial bellows compensator in a protective casing, "
KALI-RI-KALI-KAPU,Steel knife and joint structures,abstract_material,Structures,t,4581.78,4036.39,7286.79,5249.99,15,EUR,34,MESA-MERI-KAKAPU,"individual sheet steel, thickness 3-10 mm • metal frames, main load-bearing structures of industrial and non-industrial buildings, steel C255 • metal frames, main load-bearing structures of industrial"
KANE-ME-KAME-KARI,Ceramic or silicate masonry stones,abstract_material,"Standard ceramic brick, dimensions 250x120x140 mm, brand",1000 pcs,829.96,641.52,996.13,821.99,8,EUR,34,MEME-KAME-KAKAME,M100 • M125 • M150 • M175 • M200 • M250 • M300 • M75
METO-RI-KAME-KAME,Natural stone products,abstract_material,Granite facing slab,m2,334.68,94.97,1410.45,383.44,1566,EUR,34,RIVO-RIRI-KAMELI,"polished, Vozrozhdenie deposit, dimensions 300x300 mm, thickness 100 mm • polished, Vozrozhdenie deposit, dimensions 300x300 mm, thickness 110 mm • polished, Vozrozhdenie deposit, dimensions 300x300 m"
KAVO-ME-KARI-MEPU,Steel end caps for drainage channels,abstract_material,,pcs,78.84,7.74,455.7,145.05,74,EUR,34,TONE-KAPU-KAMEDX,Steel end cap for drainage channel with hydraulic section DN100 • Steel end cap for drainage channel with hydraulic section DN110 • Steel end cap for drainage channel with hydraulic section DN150 • St
KAME-SA-KATO-KATO,Road signs,abstract_material,,pcs,105.49,6.34,698.66,141.11,172,EUR,34,NESA-KANE-KAKAME,"Road sign on a galvanized base with type A reflective film, octagon, dimensions 700 mm, type RI.SA • Road sign on a galvanized base with type A reflective film, octagon-corner, dimensions 900 mm, type"
RILI-ME-KAME-KARI,Shoes for tram grooved rails,abstract_material,Steel cover plate,pcs,498.89,149.51,848.28,498.89,2,EUR,34,NEKA-MEKA-KAKANE,internal (external) for tram grooved rails type PT60 (PT62) • transition from railway to tram grooved rails type R-65/PT60 (PT62)
KAME-PU-KAME-KALI,Cartridges,abstract_material,E-6 carbonite cartridges,kg,19.82,19.82,19.82,19.82,1,EUR,34,TOME-KATO-KAKAVO,
KANE-RI-KASA-KATO,Ceramic skirting tiles,abstract_material,"Ceramic skirting tile, glazed, white, width 80 mm, thickness 11 mm",m,20.41,20.41,20.41,20.41,1,EUR,32,RIVO-MEME-KATOVO,
RIPU-RI-KANE-KAME,Fittings and connectors for multilayer metal-polymer pipes,abstract_material,Connections,pcs,111.62,51.32,218.49,125.24,1,EUR,32,TOPU-KAME-KAKADX,"quick-release, size 1"" • quick-release, size 1/2"" • quick-release, size 3/4"" • straight with external thread for metal-polymer pipes, nominal diameter 16 mm • straight with external thread for metal-p"
RITO-NE-KARI-KAME,Cast iron pressure pipes with sockets,abstract_material,High-strength cast iron pressure pipes for lockless connection with external zinc and lacquer coatin,m,510.73,88.41,6260.75,1278.08,17,EUR,32,TOTO-KATO-KAKAPU,100 mm • 1000 mm • 1200 mm • 125 mm • 1400 mm • 150 mm • 200 mm • 250 mm • 300 mm • 350 mm • 400 mm • 500 mm • 600 mm • 700 mm • 80 mm • 800 mm • 900 mm
MERI-RI-KANE-KAVO,Foam concrete products,abstract_material,"Extruded polystyrene foam segments, fire safety characteristics G4, B3, D3, T3, compressive strength",set,92.97,6.5,405.82,113.99,90,EUR,32,RISA-KATO-KAKAME,"KA.RI MPa, thermal conductivity at +25 °C no more than KA.KATOKA W/(m*K), length 1000 mm, wall thickness 100 mm, inner diameter 1020 mm • KA.RI MPa, thermal conductivity at +25 °C no more than KA.KATO"
RITO-VO-KATO-KAVO,Squares,abstract_material,"Steel angle bar, nominal diameter",pcs,2.35,1.3,3.26,2.31,3,EUR,32,TOPU-MESA-KAKATO,25 mm • 40 mm • 50 mm
RIPU-RI-KATO-KARI,Ventilation pipes,abstract_material,"Ventilation pipes, mine pipes, rubber-coated, outer diameter",m,18.75,13.99,30.06,19.47,5,EUR,32,TOTO-KANE-KAKATO,300 mm • 400 mm • 500 mm • 600 mm • 800 mm
RIKA-ME-KARI-MEDX,Cable,abstract_material,Lightning protection cable,m,2.52,2.02,4.52,2.9,4,EUR,31,MEPU-KAME-KALINE,"Non-unwinding, straightened, made of galvanized steel wire, diameter DX.RI mm • single twist type TK, 1x19(1+6+12) construction, grade B, made of galvanized wire group G, marking group 1770 N/mm2, dia"
MEME-RI-KALI-KADX,Window boxes,abstract_material,,m,3.37,0.29,3.52,2.76,1,EUR,31,MENE-KANE-KAKAPU,Loading onto motor vehicles: slag concrete blocks (using conveyors) • Unloading from motor vehicles: slag concrete blocks (using conveyors)
KAME-LI-MELI-KATO,Medium-grain grinding stone,abstract_material,Stone,kg,10.42,9.47,11.37,10.42,2,EUR,31,SATO-KAPU-KAKARI,"Grinding stone, fine-grained, medium-grained • Natural grinding stone, Pechora deposit"
RIPU-ME-KARI-KAME,Pipe clamps,abstract_material,Clamp,pcs,4.47,1.52,536.23,106.1,41,EUR,31,TOLI-KAME-KAKANE,"Galvanized metal double-flanged with two quick-release locks and rubber profile for securing pipes, M10 fastening nut, diameter from 108 to 116 mm • Galvanized metal double-claw with two quick-release"
KAME-SA-KAME-KARI,Cold plastic for road marking,abstract_material,Cold plastic for roads,kg,5.58,4.97,5.63,5.39,3,EUR,31,NESA-MEME-KAKAME,"markings, two-component with powder hardener, white • markings, white • markings, colored"
MENE-RI-KARI-KALI,Grass seeds,abstract_material,Seeds,kg,8.65,0.68,27762.57,1613.03,26,EUR,30,PUVO-KATO-KAKALI,"lawn grasses (City mix) • perennial flower crops, chrysanthemum • annual flower crops, aster • annual flower crops, tuberous begonia • annual flower crops, delphinium • annual flower crops, ornamental"
KAME-PU-KAME-KAPU,Flat valve sucker rods,abstract_material,"Flat valve scoop, outer diameter",pcs,454.97,360.73,522.9,446.2,3,EUR,30,SATO-KARI-KANERI,"108 mm, length 2250 mm • 127 mm, length 2250 mm • 89 mm, length 2250 mm"
KALI-RI-KANE-KANE,Handrail accessories,abstract_material,,pcs,3.34,0.51,10.25,3.48,22,EUR,30,RIKA-KAME-KAPUKA,"Stainless steel end cap for handrail, end cap diameter 38 mm • Stainless steel end cap for handrail, end cap diameter SAKA.VO mm • Stainless steel L-shaped bracket for handrail with a diameter of SAKA"
MEKA-ME-KARI-KARI,"Aluminum sheets, thickness KA.SA-RI.KA mm",abstract_material,"AD1N aluminum sheets, thickness KA.SA-RI.KA mm",kg,11.11,11.11,11.11,11.11,1,EUR,30,METO-KARI-KARIVO,
KAVO-TO-KALI-KAME,Hot-rolled strip,abstract_material,Rolled products,t,1927.19,1541.36,2556.4,1961.2,186,EUR,30,METO-KARI-KAPURI,"Hot-rolled strip for bridge construction, steel grades 15XSND, 10XSND, thickness 1-18 mm • Hot-rolled strip for bridge construction, steel grades 15XSND, 10KhSND, thickness 20-80 mm • hot-rolled steel"
MEPU-RI-KAPU-KATO,Two-component epoxy resin,abstract_material,,kg,33.42,7.03,38.02,27.97,4,EUR,30,RILI-KATO-KALITO,"Two-component polymer composition (component A) based on epoxy resin for corrosion protection and restoration of the inner surface of pipelines for various purposes (water supply, heat supply, transpo"
RITO-TO-KANE-KASA,Steel water and gas pipes,abstract_material,Non-galvanized welded steel pipes for water and gas pipelines,m,5.46,0.95,26.49,8.54,24,EUR,30,TOTO-KAPU-RIVOME,"without thread, ordinary, nominal diameter 10 mm, wall thickness RI.RI mm • without thread, ordinary, nominal diameter 100 mm, wall thickness PU.SA mm • without thread, ordinary, nominal diameter 125 "
KAME-NE-KAME-MEME,Ceiling slabs,abstract_material,,m2,27.74,9.23,112.38,42.67,31,EUR,30,MESA-MEKA-KAKASA,"Concrete decorative facing products for curtain wall systems, vibroformed, double-layered, reinforced, hydrophobic, imitation brick, B55, F300, W20, thickness 27 mm • Concrete decorative facing produc"
RIPU-TO-KASA-METO,Polyethylene crane saddle with embedded electric heaters,abstract_material,,pcs,9.8,1.9,357.25,47.34,48,EUR,30,TOPU-KANE-MEMEVO,"Electrofusion polyethylene crane saddle, standard dimensional ratio SDR11, nominal outer diameter 110x32 mm • Electrofusion polyethylene crane saddle, standard dimensional ratio SDR11, nominal outer d"
KASA-RI-KARI-RISA,"Concrete drainage channels, length 1000 mm",abstract_material,,pcs,262.56,50.73,752.72,288.74,38,EUR,30,MEVO-KAPU-KAVONE,"Concrete drainage channel, load class C250, D400, E600, hydraulic section DN100, length 1000 mm, height 180 mm • Concrete drainage channel, load class C250, D400, E600, hydraulic section DN110, length"
MENE-TO-KAME-KAME,Growth accelerator,abstract_material,"Urea, grade A",kg,0.91,0.91,0.91,0.91,1,EUR,30,PULI-KARI-KAKAME,
KASA-ME-KAME-MENE,Concrete slabs,abstract_material,,m3,20.86,5.31,46.17,26.52,1,EUR,29,MEVO-KATO-MEPUPU,Transportation of Class I cargo by concrete mixer trucks with a drum capacity of up to 6 m3 on dirt roads and winter roads for a distance of 1 km • Transportation of Class I cargo by concrete mixer tr
KAME-LI-KAPU-KALI,Hardware,abstract_material,,set,60.87,8.09,205.14,104.75,1,EUR,29,SAME-KAVO-KAKADX,Transportation of Class I cargo by flatbed trucks with a carrying capacity of up to 20 tons on dirt roads and winter roads for a distance of 1 km • Transportation of Class I cargo by flatbed trucks wi
KAME-NE-KAME-KAME,Gypsum fiber sheets and gypsum chipboard,abstract_material,,m2,9.38,5.55,15.45,9.94,7,EUR,29,RIVO-MEME-KAMERI,"Moisture-resistant gypsum fiber sheets GVLV, thickness 10 mm • Moisture-resistant gypsum fiber sheets GVLV, thickness 10 mm, small format 1500x1200 mm • Moisture-resistant gypsum fiber sheets GVLV, th"
MEPU-SA-MEME-MEKA,Polymer cement putty,abstract_material,Putty,kg,4469.1,1254.23,6220.64,4178.34,1,EUR,29,RIVO-KARI-KARIME,"water-dispersion polymer with mineral fillers • MS-006, pink • PF-002, red-brown"
MEPU-RI-KANE-KALI,Epoxy injection compound,abstract_material,,kg,24.38,3.67,50.29,26.21,7,EUR,29,RILI-KARI-KAKANE,"Two-component hydrophilic fast-sealing gel based on a mixture of acrylates and methacrylates for injection work in reinforced concrete, brick, and stone structures and for soil stabilization, at a tem"
RIPU-TO-KATO-KANE,Corrugated polyethylene drainage pipe,abstract_material,Pipes,m,91.64,1.05,985.3,225.97,38,EUR,28,TOTO-KALI-RIKATO,"Corrugated polymer double-layer pipes for outdoor sewerage and drainage systems, nominal ring stiffness SN8, nominal internal diameter DN/ID 200 mm • Corrugated polymer double-layer pipes for outdoor "
MEME-ME-KARI-KANE,Timber for piles,abstract_material,"Round timber (logs) of coniferous species (pine, spruce) unpeeled for piles, length PU.SA-METO m, di",m3,229.03,229.03,229.03,229.03,1,EUR,28,MENE-KAME-KAMELI,
KALI-TO-KARI-MEME,Heavy steel structures,abstract_material,,t,3517.08,2590.96,4769.37,3649.78,5,EUR,28,MESA-MENE-KANEKA,"Steel tie rods, fastening diameter 15/17 mm, length 1000 mm, with two cast iron tie nuts with an outer diameter of 90 mm • Steel bridge inventory rack and package construction • Steel scaffolding for "
KASA-PU-KAME-KATO,Partition slabs up to 100 mm thick,abstract_material,Gypsum tongue-and-groove boards,m2,22.15,16.6,31.7,22.52,6,EUR,28,RIPU-KAME-KATORI,"Solid without water-repellent additive for partitions, thickness 100 mm • Solid without water-repellent additive for partitions, thickness 80 mm • Solid water-repellent for partitions, thickness 100 m"
RITO-NE-KARI-KATO,Cast iron pressure pipes with sockets,abstract_material,,m,16.08,1.14,16.65,13.09,1,EUR,28,TOTO-KATO-KAKAPU,"Loading onto a motor vehicle: materials transported in bags and packages, with a weight of up to 51 kilograms per item • Unloading from a motor vehicle: materials transported in bags and packages, wit"
RITO-PU-KAME-KAME,Steel pipes in reinforced foam concrete insulation,abstract_material,,m,16.08,1.14,16.65,13.09,1,EUR,28,TOTO-KAPU-RIKAME,"Loading onto a motor vehicle: materials transported in bags and packages, with a weight of up to 51 kilograms per item • Unloading from a motor vehicle: materials transported in bags and packages, wit"
MEME-ME-KARI-KAPU,Support parts made of softwood lumber,abstract_material,,m3,751.39,189.35,1231.11,663.28,12,EUR,28,MENE-KAME-KAKADX,"Round larch timber, unrooted, length NE.SA-METO m, diameter at the top 16-28 cm, grade I-III • Round larch timber, unrooted, length PU.SA-NE.SA m, diameter 16-24 cm, grade II-III • Round larch timber,"
MEME-RI-KANE-KARI,Glued wooden structures,abstract_material,"Glued softwood beam (spruce, pine), width 100-200 mm, thickness 100-200 mm",m3,1378.79,1378.79,1378.79,1378.79,1,EUR,27,MENE-KASA-KAKALI,
RIME-ME-KASA-KAPU,Air conditioning system cable,abstract_material,Power cable with copper conductors,1000 m,10210.69,1337.05,125557.64,29007.94,14,EUR,27,TONE-MEPU-KAMELI,VRG 2x1(oil)-660 • VRG 2x1.5(oil)-660 • VRG 2x10(oil)-660 • VRG 2x150-660 • VRG 2x16(oil)-660 • VRG 2x185-660 • VRG 2x2.5(oil)-660 • VRG 2x25-660 • VRG 2x35-660 • VRG 2x4(oil)-660 • VRG 2x50-660 • VRG
RITO-VO-KATO-KALI,Steel-polyethylene connecting element,abstract_material,Insulating connection,pcs,85.98,46.39,2019.88,200.97,24,EUR,27,TOPU-MEKA-KATOTO,"(dielectric insert) with threaded connection, nominal pipe diameter 20 mm • (dielectric insert) with threaded connection, nominal pipe diameter 25 mm • (dielectric insert) with threaded connection, no"
RISA-RI-KARI-MEME,Metal structures for fastening high-voltage automatic blocking line equipment,abstract_material,"Clamps for fixing on intermediate supports, size 20 mm",t,77.0,0,106.4,64.06,2,EUR,27,NERI-KADX-KAKARI,"Stainless steel fastening tape in a plastic box with a cable loop, width 20 mm, thickness KA.LI mm, length 50 m • Marking frame for inscriptions, dimensions 58x38x18 mm"
KAME-LI-MERI-KALI,Lawn grid,abstract_material,,m2,8.04,3.06,272.75,51.78,25,EUR,26,SAPU-KALI-KAKARI,"Nonwoven composite synthetic geogrid, tensile strength 100/15 kN/m • Nonwoven composite synthetic geogrid, tensile strength 100/5 kN/m • Nonwoven composite synthetic geogrid, tensile strength 150/15 k"
KASA-ME-KANE-KANE,Ribbed floor slabs,abstract_material,"Ribbed reinforced concrete slabs made of heavy concrete with a width of up to 2 meters, a length of ",pcs,88.17,0,1084.35,376.85,2,EUR,26,MEVO-KARI-KANEKA,"reinforced concrete collectors, volume from KA.MESA to ME.KA m3, B22.5 concrete, reinforcement consumption from 50 to 100 kg/m3 • reinforced concrete collectors, volume from KA.TO to KA.VO m3, concret"
MEPU-ME-KANE-KARI,Adhesive composition,abstract_material,Cement-based adhesive composition with modifying additives for facade thermal insulation composite s,kg,0.68,0.68,0.68,0.68,1,EUR,26,RILI-KASA-KAMESA,
MEPU-ME-KANE-KAME,Dry gypsum mounting adhesive,abstract_material,Dry mounting adhesive for interior work based on gypsum binder,t,443.75,443.75,443.75,443.75,1,EUR,26,RILI-KASA-KAKAME,
KAVO-ME-KARI-MERI,Furnace appliances,abstract_material,,set,543.7,25.18,1168.87,671.59,1,EUR,26,TORI-KAME-KAMEDX,"Steel tank for bathhouse, volume 40 l, dimensions 500x350x240 mm • Cast iron damper for stove, dimensions 280x280x25 mm • Cast iron door for stove, air intake, dimensions 291x160x67 mm • Cast iron doo"
KAPU-RI-KARI-KAME,Hot mastic asphalt mixtures,abstract_material,Hot-mixed asphalt concrete mixtures,t,345.43,319.21,383.89,344.99,32,EUR,26,SAPU-MESA-KARIME,LA11 VN (PT) on PBV • LA11 VN on PBV • LA11 VT (PT) on PBV • LA11 VT on PBV • LA11 VE (PT) on PBV • LA11 VE on PBV • LA11 NN (PT) on PBV • LA11 NN on PBV • LA11 NT (PT) on PBV • LA11 NT on PBV • LA11 
RIPU-RI-KARI-KAME,Multilayer metal-polymer pipes,abstract_material,Metal-polymer pipes,m,5.48,1.89,65.08,14.16,15,EUR,26,TOTO-MEKA-KAKAME,"multilayer for hot water supply, temperature up to 95 °C, nominal pressure ME.KA MPa, diameter 16 mm • multilayer for hot water supply, temperature up to 95 °C, nominal pressure ME.KA MPa, diameter 20"
MEVO-SA-KAVO-MEVO,Pipe fasteners,abstract_material,,pcs,11.77,1.08,66.96,24.01,37,EUR,26,TONE-KANE-KAVOVO,"Galvanized steel double mounting bracket with holes for cross-linked polyethylene pipes, width 30 mm, length 418 mm • Galvanized steel double mounting bracket with holes for cross-linked polyethylene "
RITO-PU-KAME-KAPU,Steel pipes insulated with a double-layer coating of extruded polyethylene,abstract_material,"Electro-welded steel pipes insulated with a double-layer coating of extruded polyethylene, strength ",m,115.42,11.38,1441.22,239.99,46,EUR,26,TOTO-KAPU-RIDXME,"1020 mm, pipe wall thickness 12 mm • 108 mm, pipe wall thickness 4 mm • 108 mm, pipe wall thickness PU.SA mm • 108 mm, pipe wall thickness 5 mm • 1220 mm, pipe wall thickness 11 mm • 133 mm, pipe wall"
RISA-ME-KANE-MEPU,Rubber slab flooring for railroad crossings,abstract_material,Rubber slab flooring for railroad crossings on,m2,28478.06,13766.49,48206.41,30320.53,1,EUR,26,NEKA-MEME-KAKAVO,"double-track section with P65 rails on wooden sleepers with a deck fastening kit, deck width 10 m • double-track section with P65 rails on wooden sleepers with a deck fastening kit, deck width NE-NE.S"
KASA-ME-KAPU-RILI,Precast reinforced concrete panels,abstract_material,,m3,20.86,5.31,46.17,26.52,1,EUR,25,MEVO-KARI-KAKAME,Transportation of Class I cargo by concrete mixer trucks with a drum capacity of up to 6 m3 on dirt roads and winter roads for a distance of 1 km • Transportation of Class I cargo by concrete mixer tr
KAME-LI-KANE-MEPU,Supporting strip,abstract_material,Tapes,m,2.17,0.23,48.81,7.04,24,EUR,25,METO-KARI-KAMEPU,"heat-resistant paper for painting with a sticky layer on one side, beige color, width 100 mm • sealing waterproofing butyl rubber, with a sticky layer on both sides, gray color, width 100 mm, thicknes"
KASA-ME-KALI-RIVO,Reinforced concrete steps,abstract_material,,m,801.81,542.97,1324.64,856.92,1,EUR,25,RIKA-KAME-KASAKA,"Reinforced concrete treads for laying on the bottom and regular steps of staircases, volume up to KA.KATO m3, concrete B25, reinforcement consumption up to 50 kg/m3 • Reinforced concrete treads for la"
KALI-RI-KANE-KAME,Brackets for facing construction,abstract_material,,set,8.44,0.1,47.92,15.08,4,EUR,25,RIVO-RIPU-KAPUME,"Stainless steel inserts for ventilated curtain walls, width TOLI.SA mm, length 120 mm • Stainless steel inserts for ventilated curtain walls, width TOLI.SA mm, length 160 mm • Stainless steel inserts "
