resource_code,resource_name,resource_type,category,unit,unit_rate_avg,unit_rate_min,unit_rate_max,avg_cost_per_use,avg_quantity_per_use,currency,usage_count,price_variants,used_in_items_count,regions,parent_work_category,parent_collection,parent_department
ME_MEKAKA_PUTO,"Средний разряд работы 4,3",material,Other,ч,662.34,662.34,662.34,734660.05,1109.1887,EUR,436,1,436,RU_STPETERSBURG,МОНТАЖ ОБОРУДОВАНИЯ,Оборудование метрополитенов и тоннелей;Оборудование предприятий целлюлозно-бумажной промышленности;Оборудование сельскохозяйственных производств,МАСЛОПРОВОДЫ ОБОРУДОВАНИЯ ТЕПЛОВЫХ ЭЛЕКТРОСТАНЦИЙ;ТРУБОПРОВОДЫ ТЕХНОЛОГИЧЕСКИЕ МЕЖЦЕХОВЫЕ
KAME-LI-MEDX-KAPU_KAKAKARI,Rolled vulcanized rubber plates,material,Rubber & Gaskets,kg,39.77,3.97,147.19,691.34,31.9998,EUR,432,2,432,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Devices, automation and computing equipment;Pile driving, sinking wells, soil stabilization;Roofs",ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ;ТРУБОПРОВОДЫ ТЕХНОЛОГИЧЕСКИЕ МЕЖЦЕХОВЫЕ
ME_MEKAKA_RILI,Worker Category 1,labor,Labor Grades,hrs,14.82,14.82,14.82,2947.7,198.9324,EUR,427,1,427,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;REPAIR AND CONSTRUCTION WORKS,Painting work;Roofs;Stove work,STOVE WORK;WOODEN STRUCTURES
DXME-RIME-MEDX_KATOME,Electricity: consumption KA.PUSA kW·h/machine-hour,electricity,Electricity,Machine hours,0.06,0.06,0.06,0.88,14.4717,EUR,425,1,425,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION,Equipment for subways and tunnels;Process pipelines;Roofs,BLAST FURNACE PRODUCTION EQUIPMENT;CONVEYORS FOR GRAIN AND GRAIN PROCESSING PRODUCTS
KATO-ME-KARI-KATO_KAKAMEME,"Quicklime, grade I",material,Other,t,436.92,225.03,8334.58,193.8,1.1325,EUR,421,2,421,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Painting work;Signaling, centralization, interlocking, and contact network equipment for railway transport;Water supply - outdoor networks",LANDSCAPING;MISCELLANEOUS WORKS
DXME-RIME-MEDX_KATOTO,Electricity: consumption RI.SARI kW·h/machine-hour,electricity,Electricity,Machine hours,0.34,0.34,0.34,5.76,17.1453,EUR,421,1,421,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION,Electric furnaces;Lifting and transport equipment;Process pipelines,MECHANICAL PART OF FURNACES;MISCELLANEOUS WORKS
DXME-KAME-KASA_MEKANE,"Single-bucket diesel excavators on pneumatic wheels, bucket capacity KA.RISA m3",equipment,Excavators,Machine hours,26.36,26.36,26.36,138.86,5.2669,EUR,416,1,416,ENG_TORONTO,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS,Drilling and blasting;Heat supply and gas pipelines - outdoor networks;Precast concrete and reinforced concrete structures,LANDSCAPING;MISCELLANEOUS WORKS
DXME-MENE-KAME_KAKARI,"Mobile power stations, 4 kW capacity",equipment,Other,Machine hours,4.26,3.16,116.94,32.68,10.0888,EUR,414,2,414,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,"Main and industrial pipelines;Pile driving, sinking wells, soil stabilization;Water supply - outdoor networks",ANTI-CORROSION INSULATION OF STEEL PIPELINES;MISCELLANEOUS WORKS
MEKA-RI-KARI-KANE_KAKAMENE,"Brass strips, cold-rolled, hard, normal precision, grade L63, random length, width 40-100 mm, thickness TO.KA mm",material,Other,t,464682.76,31255.58,1157614.12,49.22,0.0001,EUR,408,2,408,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Heat supply and gas pipelines - outdoor networks;Rolling mill equipment;Оборудование прокатных производств,RENTAL EQUIPMENT;ПРОКАТНОЕ ОБОРУДОВАНИЕ
KAVO-PU-KATO-KATO,Rebar,material,Other,t,1476.11,1476.11,1476.11,13864.69,9.4625,EUR,407,1,407,ENG_TORONTO,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS,Floors;Precast concrete and reinforced concrete structures;Walls,ERECTING STRUCTURES IN STANDARD SMALL-PANEL FORMWORK;MISCELLANEOUS WORKS
KAVO-TO-KASA-KARI_KAKAKAME,"Hot-rolled sheet metal, steel grades St3sp, St3ps, width 1200-3000 mm, thickness 9-12 mm",material,Steel & Metal,t,7489.29,1400.05,51853.73,3208.88,0.2421,EUR,406,2,406,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,"Equipment for coal and peat industry enterprises;Metal structures of hydraulic engineering structures;Pile driving, sinking wells, soil stabilization",MISCELLANEOUS WORKS;PRECAST REINFORCED CONCRETE OVERPASSES AND PEDESTRIAN BRIDGES
RISA-ME-KASA-KASA,"Broad gauge railway tracks, type P50",material,Other,m,237.62,237.62,237.62,148089.28,652.2127,EUR,405,1,405,ENG_TORONTO,CONSTRUCTION WORK,"Drilling and blasting;Pile driving, sinking wells, soil stabilization;Tram tracks",DEAD-END CROSSINGS AT THE SAME LEVEL;STEEL BRIDGE SPANS
DXME-MENE-KAME_KAKAPU,"Mobile power stations, capacity 60 kW",equipment,Other,Machine hours,170.9,23.94,886.52,1863.9,46.8383,EUR,405,2,405,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,"Pile driving, sinking wells, soil stabilization;Process pipelines;Water supply - outdoor networks",VALVES FOR MAIN PIPELINE TRANSPORTATION OF OIL AND OIL PRODUCTS;АРМАТУРА ДЛЯ ОБЪЕКТОВ МАГИСТРАЛЬНОГО ТРУБОПРОВОДНОГО ТРАНСПОРТА НЕФТИ И НЕФТЕПРОДУКТОВ
DXME-KASA-KAPU_KAMERI,"Electric overhead cranes, lifting capacity 100 t",equipment,Cranes,Machine hours,1374.99,132.88,4921.36,229424.44,150.0881,EUR,405,3,305,ENG_TORONTO;RU_STPETERSBURG,EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Equipment for building materials industry enterprises;Process pipelines;Оборудование предприятий промышленности строительных материалов,CRUSHING AND GRINDING EQUIPMENT;МАСЛОПРОВОДЫ ОБОРУДОВАНИЯ ТЕПЛОВЫХ ЭЛЕКТРОСТАНЦИЙ
PU_MEKAKA_KANEPU,Personnel: 7 man-hours/machine-hours,operator,Machine Operators,Machine hours,90.88,62.64,175.38,1189.55,13.8438,EUR,400,3,400,ENG_TORONTO,CONSTRUCTION WORK,"Earthworks;Pile driving, sinking wells, soil stabilization;Waterproofing works in hydraulic structures",DREDGING WORKS IN MARINE CONDITIONS;STEEL BRIDGE SPANS
KAME-ME-KAME-KADX_KAKATOKA,"General-purpose asbestos cord, diameter 18-25 mm",material,Other,t,128026.8,10957.12,405819.25,1584.01,0.0202,EUR,398,2,398,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Process pipelines;Protection of building structures and equipment from corrosion;Технологические трубопроводы,MISCELLANEOUS WORKS;TURBINE AUXILIARY EQUIPMENT
KAME-TO-KARI-KANE_KAKAMEME,Carbon dioxide,material,Other,t,11383.01,1053.64,39023.64,250.27,0.0515,EUR,397,2,397,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Main and industrial pipelines;Process pipelines;Work during the reconstruction of buildings and structures,METAL AIR DUCTS;REPLACEMENT OF METAL STRUCTURES OF BUILDINGS
DXME-KADX-MERI_MEKARI,"Rail drilling machines, power ME.MESA kW",equipment,Other,Machine hours,0.74,0.37,13.57,3.19,8.2005,EUR,395,3,385,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,"Lifting and transport equipment;Signaling, centralization, interlocking, and contact network equipment for railway transport;Tram tracks","SIGNALING, CENTRALIZATION, AND LOCKING EQUIPMENT FOR RAILWAYS;STEEL BRIDGE SPANS"
KAVO-TO-KAVO-KARI_KAKAKAPU,"Hot-rolled steel angle bar, steel grades St3sp, St3ps, shelf width 180-200 mm, shelf thickness 11-30 mm",material,Steel & Metal,t,26348.18,1609.93,59627.01,5491.61,0.2118,EUR,394,2,394,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,Communication equipment;Equipment for coal and peat industry enterprises;Metal structures of hydraulic engineering structures,METAL STRUCTURES OF HYDRAULIC ENGINEERING STRUCTURES;ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
PU_MEKAKA_KANESA,Персонал: 2 чел.-ч/маш.-ч,equipment,Other,маш.-ч,933.98,933.98,933.98,19582.95,20.9672,EUR,394,1,394,RU_STPETERSBURG,МОНТАЖ ОБОРУДОВАНИЯ,"Оборудование общего назначения;Оборудование сигнализации, централизации, блокировки и контактной сети на железнодорожном транспорте",МОНТАЖ ОБОРУДОВАНИЯ;СЕТИ КОНТАКТНЫЕ НА ЖЕЛЕЗНОДОРОЖНОМ ТРАНСПОРТЕ
DXME-MEVO-KAME_SAKAVO,"Mobile screw compressors with electric motor, pressure up to 1 MPa (10 atm), capacity up to 5 m3/min",equipment,Compressors,Machine hours,4.49,4.49,4.49,32.24,7.1838,EUR,392,1,392,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;REPAIR AND CONSTRUCTION WORKS,"Pile driving, sinking wells, soil stabilization;Roofs;Stove work",COATING WITH PAINT AND VARNISH MATERIALS;MISCELLANEOUS WORKS
DXME-MEVO-KAME_SAKAVO,Electricity: consumption MERI.RIME kW·h/machine-hour,electricity,Electricity,Machine hours,1.63,1.63,1.63,11.7,7.1838,EUR,392,1,392,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;REPAIR AND CONSTRUCTION WORKS,"Pile driving, sinking wells, soil stabilization;Roofs;Stove work",COATING WITH PAINT AND VARNISH MATERIALS;MISCELLANEOUS WORKS
KAME-PU-KATO-KANE_KAKARIME,Pick for jackhammers,material,Other,pcs,27.41,27.41,27.41,53.11,1.9378,EUR,390,1,390,ENG_TORONTO,CONSTRUCTION WORK,Tunneling works,MINING WORKS PERFORMED BY CONVENTIONAL METHODS
MEKA-TO-KARI-KATO_KAKAMETO,"Tin-lead solder without antimony, grade POS61",material,Other,kg,1065.51,58.0,2148.05,96.61,0.1674,EUR,390,2,390,ENG_TORONTO;RU_STPETERSBURG,EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,"Devices, automation and computing equipment;Equipment for cinematography enterprises;Оборудование предприятий кинематографии",CABLEWAYS;ГОРОДСКАЯ ТЕЛЕФОННАЯ СВЯЗЬ
MEME-ME-KATO-KASA_KAKANEPU,"Unedged softwood board, natural moisture content, length RI-NE.SA m, width 100-250, thickness 30-50 mm, grade II",material,Wood & Timber,m3,285.58,285.58,285.58,593.09,2.2565,EUR,389,1,389,ENG_TORONTO,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS,Finishing works;Motorways;Roofs,COLUMNS;STEEL BRIDGE SPANS
DXME-KASA-KANE_KAKAVO,Crawler cranes with a lifting capacity of 40 tons,equipment,Cranes,Machine hours,627.46,65.74,2434.74,44001.69,70.0889,EUR,388,2,388,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,"Equipment for coal and peat industry enterprises;Pile driving, sinking wells, soil stabilization;Wooden structures of hydraulic engineering structures",BUILDINGS AND BUILDING FRAMES;EQUIPMENT FOR SPECIALIZED PRODUCTION
ME_MEKAKA_PUPU,"Средний разряд работы 4,4",material,Other,ч,671.8,671.8,671.8,680053.93,1012.2863,EUR,388,1,388,RU_STPETERSBURG,МОНТАЖ ОБОРУДОВАНИЯ,"Оборудование предприятий электронной промышленности и промышленности средств связи;Оборудование сельскохозяйственных производств;Оборудование сигнализации, централизации, блокировки и контактной сети на железнодорожном транспорте",ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ;НОРИИ ЛЕНТОЧНЫЕ ВЕРТИКАЛЬНЫЕ В МЕТАЛЛИЧЕСКОМ КОЖУХЕ ДЛЯ ЗЕРНА И ПРОДУКТОВ ЕГО ПЕРЕРАБОТКИ
DXME-RIKA-KATO_KAKADX,"Diesel tugs operating in open waters, power 294 kW (400 hp)",equipment,Other,Machine hours,122.84,122.84,122.84,2233.71,18.1841,EUR,386,1,386,ENG_TORONTO,CONSTRUCTION WORK,"Pile driving, sinking wells, soil stabilization;Underwater construction (diving) works;Waterproofing works in hydraulic structures","FASTENING OF SLOPES OF MARINE EMBANKMENTS AND COASTLINES, CONSTRUCTION OF PROTECTIVE STRUCTURES;METAL STRUCTURES OF HYDRAULIC ENGINEERING STRUCTURES"
KAVO-TO-MEME-KAME_MEMEKARI,"Hot-rolled steel channels, steel grades St3ps, St3sp, No. 12U-24U, No. 12P-24P",material,Steel & Metal,t,14050.86,1711.97,63406.44,6247.36,0.3364,EUR,385,2,385,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Communication equipment;Pile driving, sinking wells, soil stabilization;Weighing equipment",METAL STRUCTURES OF HYDRAULIC ENGINEERING STRUCTURES;RAILWAY CROSSINGS
ME_MEKAKA_TOKA,"Средний разряд работы 3,0",material,Other,ч,562.99,562.99,562.99,26069.8,46.306,EUR,383,1,383,RU_STPETERSBURG,МОНТАЖ ОБОРУДОВАНИЯ,Оборудование общего назначения;Оборудование предприятий полиграфической промышленности;Оборудование сельскохозяйственных производств,ОБОРУДОВАНИЕ ПРЕДПРИЯТИЙ МИКРОБИОЛОГИЧЕСКОЙ ПРОМЫШЛЕННОСТИ;ОБОРУДОВАНИЕ ШВЕЙНЫХ И ШВЕЙНО-ТРИКОТАЖНЫХ ПРЕДПРИЯТИЙ И ПРОИЗВОДСТВ
DXME-KASA-KASA_KAMENE,"Truck-mounted cranes, lifting capacity 25 t",equipment,Cranes,Machine hours,175.75,50.9,1885.3,1477.33,19.1678,EUR,382,2,382,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Pile driving, sinking wells, soil stabilization;Roofs;Технологические трубопроводы",BUILDINGS AND BUILDING FRAMES;MISCELLANEOUS WORKS
MEPU-PU-KAME-KAME_KAKAKATO,GF-021 primer,material,Paint & Coatings,t,9589.4,2229.15,82561.04,216.58,0.03,EUR,382,2,382,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Devices, automation and computing equipment;Landscaping;Технологические трубопроводы",BUILDINGS AND BUILDING FRAMES;COATING WITH PAINT AND VARNISH MATERIALS
DXME-KADX-MERI_MEKAME,Rail cutting machines,equipment,Other,Machine hours,0.65,0.65,0.65,2.94,4.4997,EUR,381,1,381,ENG_TORONTO,CONSTRUCTION WORK,Bridges and Pipes;Shipways for slipways and slipways;Tram tracks,DEAD-END CROSSINGS AT THE SAME LEVEL;STEEL BRIDGE SPANS
DXME-KADX-MERI_MEKAME,Electricity: consumption ME.DXME kW·h/machine-hour,electricity,Electricity,Machine hours,0.26,0.26,0.26,1.15,4.4997,EUR,381,1,381,ENG_TORONTO,CONSTRUCTION WORK,Bridges and Pipes;Shipways for slipways and slipways;Tram tracks,DEAD-END CROSSINGS AT THE SAME LEVEL;STEEL BRIDGE SPANS
ME_MEKAKA_RITO,Worker Category 1,labor,Labor Grades,hrs,14.31,14.31,14.31,1310.25,91.5845,EUR,379,1,379,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;REPAIR AND CONSTRUCTION WORKS,"Pile driving, sinking wells, soil stabilization;Roofs;Stove work",GREENHOUSES AND VEGETABLE STORAGE FACILITIES;MISCELLANEOUS WORKS
KAME-RI-KATO-KATO,Mastic,material,Waterproofing,t,1002.95,5.21,1019.09,2918.03,4.3411,EUR,377,2,377,ENG_TORONTO,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS,"Glazing, wallpapering, and tiling work;Metal building structures;Roofs",ANTI-CORROSION INSULATION OF STEEL PIPELINES;MISCELLANEOUS WORKS
DXME-RIME-RIKA_KAMETO,Electricity: consumption KA.VOLI kW·h/machine-hour,electricity,Electricity,Machine hours,0.12,0.12,0.12,1.61,13.7698,EUR,377,1,377,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;REPAIR AND CONSTRUCTION WORKS,Lifting and transport equipment;Motorways;Other repair and construction work,"CONVEYORS FOR GRAIN AND GRAIN PROCESSING PRODUCTS;GRAIN CLEANING, DRYING, AND PROCESSING EQUIPMENT"
KATO-ME-KAME-KAME_KAKAKARI,G-3 construction gypsum,material,Other,t,1211.65,169.84,6290.49,63.3,0.5263,EUR,376,2,376,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Communication equipment;Devices, automation and computing equipment;Stove work","LOCAL TELEPHONE COMMUNICATIONS;RESIDENTIAL, PUBLIC, AND ADMINISTRATIVE AND UTILITY BUILDINGS OF INDUSTRIAL ENTERPRISES"
DXME-KANE-KATO_KAPULI,Manual and lever winches with a pulling force of TOME.TODX kN (TO.RI t),equipment,Hoists & Winches,Machine hours,0.09,0.09,0.09,0.97,10.6133,EUR,376,1,376,ENG_TORONTO,CONSTRUCTION WORK,Bridges and Pipes;Temporary prefabricated buildings and structures;Work during the reconstruction of buildings and structures,METAL AIR DUCTS;NUCLEAR POWER PLANT CONSTRUCTIONS
DXME-KADX-MERI_MEKARI,Electricity: consumption KA.TOVO kW·h/machine-hour,electricity,Electricity,Machine hours,0.05,0.05,0.05,0.44,8.6112,EUR,375,1,375,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION,"Lifting and transport equipment;Signaling, centralization, interlocking, and contact network equipment for railway transport;Tram tracks","SIGNALING, CENTRALIZATION, AND LOCKING EQUIPMENT FOR RAILWAYS;STEEL BRIDGE SPANS"
KAME-LI-KALI-RIDX_KAKATOME,Cable,material,Electrical,t,6136.57,6136.57,6136.57,426.79,0.1353,EUR,371,1,371,ENG_TORONTO,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS,Heat supply and gas pipelines - outdoor networks;Precast concrete and reinforced concrete structures;Water supply - outdoor networks,"MISCELLANEOUS WORKS;RESIDENTIAL, PUBLIC, AND ADMINISTRATIVE AND UTILITY BUILDINGS OF INDUSTRIAL ENTERPRISES"
ME_MEKAKA_TOME,"Средний разряд работы 3,1",material,Other,ч,570.09,570.09,570.09,33268.47,58.3565,EUR,371,1,371,RU_STPETERSBURG,МОНТАЖ ОБОРУДОВАНИЯ,Оборудование метрополитенов и тоннелей;Оборудование прокатных производств;Оборудование сельскохозяйственных производств,ОБОРУДОВАНИЕ КАРТОНАЖНОГО ПРОИЗВОДСТВА;ОБОРУДОВАНИЕ ШВЕЙНЫХ И ШВЕЙНО-ТРИКОТАЖНЫХ ПРЕДПРИЯТИЙ И ПРОИЗВОДСТВ
PU_MEKAKA_KALILI,Personnel: 3 man-hours/machine-hours,operator,Machine Operators,Machine hours,41.68,40.9,81.79,94.41,2.2021,EUR,368,2,252,ENG_TORONTO,CONSTRUCTION WORK,Railways,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM
MEPU-PU-KARI-KAPU_KAMEVORI,"MA-15 oil paint, colored",material,Paint & Coatings,t,2761.22,2514.33,93123.39,15.19,0.0125,EUR,367,2,367,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Heat supply and gas pipelines - outdoor networks;Painting work;Signaling, centralization, interlocking, and contact network equipment for railway transport",LANDSCAPING;ROOFS
RIRI-RI-KARI-KARI_KAKAKAME,"Polyethylene insulating sleeves, core diameter from ME.KASA to ME.RI mm, length 70 mm, diameter 7 mm",material,Other,100 pcs,31.31,1.65,60.97,24.45,0.7808,EUR,366,2,366,ENG_TORONTO;RU_STPETERSBURG,EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Communication equipment;Оборудование связи,SERVICE COMMUNICATIONS ON RAILWAY TRANSPORT;ЛИНИИ СВЯЗИ
DXME-KASA-KAPU_KAKADX,Electricity: consumption PUNE.RI kW·h/machine-hour,electricity,Electricity,Machine hours,6.16,6.16,6.16,480.02,77.8979,EUR,364,1,364,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION,Equipment for building materials industry enterprises;Lifting and transport equipment;Process pipelines,CRUSHING AND GRINDING EQUIPMENT;PUMPS
PU_MEKAKA_KASATO,Personnel: 3 man-hours/machine-hours,operator,Machine Operators,Machine hours,36.41,32.9,76.78,281.05,7.7151,EUR,363,3,319,ENG_TORONTO,CONSTRUCTION WORK;EQUIPMENT INSTALLATION,"Communication equipment;Overhead work;Pile driving, sinking wells, soil stabilization","FASTENING OF SLOPES OF MARINE EMBANKMENTS AND COASTLINES, CONSTRUCTION OF PROTECTIVE STRUCTURES;SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM"
DXME-KASA-KAME_KAMESA,"Tower cranes, load capacity 50 tons",equipment,Cranes,Machine hours,1120.42,66.57,3667.09,17654.72,17.1881,EUR,360,3,256,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Equipment for ferrous metallurgy enterprises;Equipment for hydroelectric power stations and hydraulic structures;Temporary prefabricated buildings and structures,MISCELLANEOUS WORKS;ГИДРОЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ
MEME-ME-KATO-KANE_KAKALIME,"Edged softwood board, natural moisture content, length RI-NE.SA m, width 100-250 mm, thickness 25 mm, grade III",material,Wood & Timber,m3,371.98,371.98,371.98,516.0,1.3988,EUR,359,1,359,ENG_TORONTO,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS,"Landscaping;Metal building structures;Pile driving, sinking wells, soil stabilization",MISCELLANEOUS WORKS;WOODEN STRUCTURES
MEPU-ME-KAME-KAME_KAKAKAME,Casein glue,material,Other,t,258580.48,18098.5,670314.79,27.84,0.0001,EUR,358,2,358,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Finishing works;Rolling mill equipment;Оборудование прокатных производств,RENTAL EQUIPMENT;ПРОКАТНОЕ ОБОРУДОВАНИЕ
MEPU-PU-KATO-KAPU_KAKAKAME,"Coal tar varnish, grade A",material,Paint & Coatings,t,8633.33,1480.39,54829.37,79.8,0.1041,EUR,358,2,358,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;REPAIR AND CONSTRUCTION WORKS;МОНТАЖ ОБОРУДОВАНИЯ,"Heat supply and gas pipelines - outdoor networks;Signaling, centralization, interlocking, and contact network equipment for railway transport;Waterproofing works in hydraulic structures","MISCELLANEOUS WORKS;SIGNALING, CENTRALIZATION, AND LOCKING EQUIPMENT FOR RAILWAYS"
MEPU-SA-KADX-KALI_KAKATOKA,Solvent P-4,material,Chemicals & Gases,t,8647.43,3910.51,144833.88,17.89,0.016,EUR,357,2,357,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,"Heat supply and gas pipelines - outdoor networks;Pile driving, sinking wells, soil stabilization;Process pipelines",BUILDINGS AND BUILDING FRAMES;COATING WITH PAINT AND VARNISH MATERIALS
KAME-LI-MEME-KALI_KAMEVORI,"Welding electrodes for welding low-alloy and carbon steels UONI 13/45, E42A, diameter 3 mm",material,Steel & Metal,t,3958.78,3958.78,3958.78,50.91,0.0297,EUR,356,1,356,ENG_TORONTO,CONSTRUCTION WORK,Heat supply and gas pipelines - outdoor networks;Main and industrial pipelines,ASSEMBLY AND WELDING OF PIPELINES ON THE TRACK UNDER NORMAL CONDITIONS;GAS PIPELINES IN CITIES AND SETTLEMENTS
DXME-KATO-KANE_KAPUKA,"Electric bucket loading machines, capacity ME.RISA m3/min",equipment,Excavators,Machine hours,16.32,16.32,16.32,403.06,24.699,EUR,355,1,355,ENG_TORONTO,CONSTRUCTION WORK,Tunnels and subways,CLOSED METHOD OF OPERATION
DXME-KATO-KANE_KAPUKA,Electricity: consumption LI.ME kWh/machine-hour,electricity,Electricity,Machine hours,0.95,0.95,0.95,23.37,24.699,EUR,355,1,355,ENG_TORONTO,CONSTRUCTION WORK,Tunnels and subways,CLOSED METHOD OF OPERATION
MEME-ME-KATO-KAME_KAKANEVO,"Edged softwood timber (spruce, pine), natural moisture content, length RI-NE.SA m, width 100 mm and above, thickness 100 mm and above, grade IV",material,Wood & Timber,m3,5381.56,329.01,12185.65,57.82,0.0235,EUR,352,2,352,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Earthworks;Equipment for textile industry enterprises;Precast concrete and reinforced concrete structures,"EQUIPMENT FOR FIBER, TAPE, AND YARN DYEING WORKSHOPS;ОБОРУДОВАНИЕ ОТДЕЛОЧНЫХ ПРОИЗВОДСТВ"
DXME-KANE-KANE_KAPURI,"Hydraulic lifts, lifting height 10 m",equipment,Cranes,Machine hours,20.57,3.52,130.19,470.31,22.1152,EUR,352,3,306,ENG_TORONTO;RU_STPETERSBURG,CONSTRUCTION WORK;EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,Monolithic concrete and reinforced concrete structures;Nuclear power plant equipment;Электротехнические установки,MISCELLANEOUS WORKS;STRUCTURES OF NUCLEAR POWER PLANT BUILDINGS
RISA-RI-KAME-KAME_KAKAMEPU,Plastic cable marking tags U136,material,Electrical,100 pcs,116.21,6.11,226.3,266.76,2.2956,EUR,352,2,352,ENG_TORONTO;RU_STPETERSBURG,EQUIPMENT INSTALLATION;МОНТАЖ ОБОРУДОВАНИЯ,"Devices, automation and computing equipment;Process pipelines;Оборудование метрополитенов и тоннелей",LOCAL TELEPHONE COMMUNICATIONS;METRO EQUIPMENT
